Group,Title,comment_type,comment_id_key,parent_id_key,comment,author,date,likes,sentiment_label,max_emotion,max_emotion_score
ITZY,SNEAKERS,node,UgwWjxJShR2QV97zBZl4AaABAg,,뮤비 다이렉터와 코디... 컨셉 잡기 전 노래 들어본거 맞지?요즘 하이틴 감성 노래와 춤에다가 갑자기 중세시대 옷 그리고 군복.. 언밸러스 매력?ㅋㅋㅋ,@riming6434,2022-07-15T05:51:45Z,0,2,신기함/관심,0.9420385956764221
ITZY,달라달라(DALLA DALLA),node,Ugy3Aowo29UYJa_b1Wp4AaABAg,,[timecode] 조금긴 2분40초짜리 소울광고,@문준혁-f3f,2019-02-10T15:58:35Z,0,1,없음,0.9069077372550964
ITZY,달라달라(DALLA DALLA),node,UgxNdSPyVTQ0DcwiT6h4AaABAg,,믓지다.,@zerumi2731,2019-02-11T01:44:24Z,0,2,감동/감탄,0.9841409921646118
ITZY,BET ON ME,node,UgwN3dD4kTeMPrBAIpN4AaABAg,,류진이 도입부터 집중되고 리아의 음색도 더 짤떡이고 넘 좋다. 있지믿지 날자!!,@rlove3242,2023-07-02T22:32:19Z,2,2,즐거움/신남,0.9425053596496582
ITZY,BORN TO BE,node,UgwbjQ05enz_T-oihdd4AaABAg,,파라색 하늘색 꽃장난감 빛났돼어줘 신기하게요 빛났돼어줘 봐어요,@김상기-o7q,2024-03-17T00:23:15Z,1,2,기대감,0.9007372260093689
ITZY,Mr. Vampire,node,UgxctfuM98PFeIXGHwJ4AaABAg,,ITZY 정말 재능이 넘치네요 이번 노래는 정말 와우 많이 승리하시길 바랍니다 사랑해요 🩷🩷🩷🩷🩷,@X._.V._.Y,2024-01-01T18:13:47Z,181,2,감동/감탄,0.9587795734405518
ITZY,달라달라(DALLA DALLA),node,Ugz7_ksujsUI9PsSaEB4AaABAg,,조회수 1억만가즈아,@rmaritel7527,2019-04-07T10:34:44Z,1,2,기대감,0.9531233310699463
ITZY,BORN TO BE,node,UgzjupcMmAAPhNK-1yR4AaABAg,,블핑이 호랑이 굴 나가있는 사이 그냥 기다렸다는 듯이 암마 퀸카 암마 빌런 암마 배디 암더 드라마 암마 보스 베이비 아워스 본투비 다 블핑 센 언니 컨셉ㅋㅋㅋ,@sucheollee2968,2023-12-19T04:49:36Z,0,2,즐거움/신남,0.9652650356292725
ITZY,Not Shy,node,UgyYNX-jyzME0PMX2i14AaABAg,,최고의 노래!,@dianagara2149,2020-10-01T20:48:08Z,0,2,감동/감탄,0.9577548503875732
ITZY,UNTOUCHABLE,node,UgxoPw5H7GNuLnUFokF4AaABAg,,ㅗㅇㅍ욮ㅇㅅㅇㄹㄹㅇㄹㄹㅇ룔,@kirito_sun143,2024-01-19T19:18:58Z,0,1,없음,0.7842118740081787
ITZY,마.피.아. In the morning,reply,,Ugw9ccVEPgDVELY6Tdd4AaABAg,있지,@young9.4,2021-05-02T03:24:37Z,0,1,없음,0.8797630071640015
ITZY,Mr. Vampire,node,UgwQwcaxB9ICJrep8TJ4AaABAg,,리아는 방출?,@장기투자-p5x,2024-01-19T16:16:12Z,0,1,없음,0.8813905119895935
ITZY,WANNABE,node,UgyKzGe739eF47S7qCh4AaABAg,,있지 데뷔할때가 엊그제 같은데....너무 머기업 되어버렸잖아...ㅎ 있지 이대로 계속 꽃길만 걸었으면 좋겠다,@havn.,2020-03-09T11:11:33Z,11,2,아껴주는,0.9288190603256226
ITZY,WANNABE,node,Ugxx3yC0XWdZUohLl-R4AaABAg,,일1,@이재훈-r6f7g,2022-03-13T16:14:14Z,0,1,없음,0.809223473072052
ITZY,WANNABE,node,Ugx26BGiMkxBlOFRGDx4AaABAg,,2024년에 듣는 분 노래 짱 좋음,@레이찹쌀떡,2024-06-22T16:01:41Z,2,2,감동/감탄,0.9323699474334717
ITZY,WANNABE,node,UgznaTVdFA31eZcSI594AaABAg,,있지 실제로 보는게 소원인 믿지 손,@무슨만찬,2020-03-09T10:07:30Z,2,2,기대감,0.9675472974777222
ITZY,Not Shy,reply,,Ugx4kRD0A9U_QaJeO054AaABAg,1978겨울방학전어느춥던하루-교실에선...선생과여학쌩간의대화...봋쏘선생요우리엄마수세미나되나어제처음보이굴근것23개던백이던데수환장하께뚜만내는마시커먼쓰아잉겨집에그엄만지딸아이거든요수세미는커녕너들아빠는자루달린퐁퐁맞띠더선생은여잔겨남잔겨남자지안보이내가아나교실에서다보는데까보쏘....! 소선이와무관한 산중턱 야외교실 저들또래 1찐좀위의아들 학꾜선1찐년들이저들더라 3진도못된다고하나...아인데...@@~생략 / 실시!@@콱,@아빠츄지구세계주인이,2020-12-20T00:52:09Z,1,0,짜증,0.909024715423584
ITZY,달라달라(DALLA DALLA),node,Ugxy-5PGZAmigwKJ9nl4AaABAg,,처음 나왔을 때 그 충격 잊지못한다 넘 예뻐,@Loveit-o7p,2021-01-17T05:29:06Z,1,2,감동/감탄,0.9472822546958923
ITZY,ICY,reply,,UgwE63a4GzaykcHDHdh4AaABAg,오아앙 안뇽!!!,@기요밍-b6b,2019-07-30T06:31:27Z,2,2,즐거움/신남,0.8506970405578613
ITZY,달라달라(DALLA DALLA),node,Ugz_oEGmO4wgTdDCb7l4AaABAg,,달라달라,@ssem9645,2019-02-10T15:22:27Z,0,1,없음,0.855125367641449
ITZY,SNEAKERS,node,Ugxj1R7LdrzkQrMlJet4AaABAg,,이 MV는 완벽합니다,@marigame-2714,2022-08-09T16:48:03Z,2,2,감동/감탄,0.9524985551834106
ITZY,WANNABE,node,UgwcmTWuyuU8KyftfRZ4AaABAg,,[timecode] 마지막 포즈 달라달라하고 icy 하고 섞은 거넹,@도련님-m1t,2020-03-10T12:45:17Z,0,1,없음,0.8478679656982422
ITZY,마.피.아. In the morning,node,Ugxqb3RlE3uM3EEBP754AaABAg,,어몽어스가 떠서 이런노래가 나오나 ㅋㅋ,@NohJeMin,2021-05-05T11:09:01Z,0,2,즐거움/신남,0.9609139561653137
ITZY,마.피.아. In the morning,node,UgwIevJ7R8I2ldbl8aV4AaABAg,,? 초반이 깡이랑 비슷한데 ? 잠깐 진영오빠 차에 좀 타봐,@lifeisreal0000,2021-05-03T16:22:08Z,0,2,신기함/관심,0.9245802760124207
ITZY,UNTOUCHABLE,node,UgzwvSln4jL39NLyWXl4AaABAg,,이제는 작은 회사라도 목소리를 담을 수 있는 최고의 마이크를 갖고 있는데 이렇게 큰 JYP 회사는 왜 투자를 안 하는 걸까요?,@ThuyNguyen-ei5mq,2024-01-15T21:02:06Z,2,0,안타까움/실망,0.9672488570213318
ITZY,BET ON ME,node,UgyCRzJ268Zd2Je5MMx4AaABAg,,와 이 노래는 채령 보컬이 엄청 돋보이네요!!,@riadancefit,2023-07-05T14:49:09Z,3,2,감동/감탄,0.977055549621582
ITZY,달라달라(DALLA DALLA),node,Ugy85bqBgBSFx5QCkOF4AaABAg,,트와이스 오디션? 에서 본사람있으신거같은뎅..,@김달수-d9e,2019-03-17T09:59:43Z,2,2,신기함/관심,0.9230127930641174
ITZY,BORN TO BE,node,UgxOINnHSOHhV7e-f_R4AaABAg,,완벽한,@Skwmoy,2023-12-17T18:16:25Z,0,2,감동/감탄,0.7867400646209717
ITZY,BET ON ME,node,UgzA6tDpIvdgas9KoBF4AaABAg,,예지 달리기 왤케 못하냐...ㅋㅋ 진짜 어색하다,@iseeyou9632,2023-07-02T20:59:50Z,0,0,어이없음,0.8381978869438171
ITZY,CAKE,node,UgwEotXE4KtTmaAzWLF4AaABAg,,기대 많이 했는데.. 아쉬운데,@kkrkdwjstjd,2023-07-31T09:35:17Z,3,0,안타까움/실망,0.9767149090766907
ITZY,달라달라(DALLA DALLA),node,UgzPtZ1t2oPLIR68AEV4AaABAg,,그래서 음원은 언제나와...?,@Myhomeground_99,2019-02-11T05:58:28Z,0,2,기대감,0.7978127002716064
ITZY,WANNABE,node,UgzBzE1CvjCggXNQp8h4AaABAg,,이번 노래 너무 안좋음..,@도쿄도대구현의자랑전,2020-03-10T05:14:22Z,0,0,불평/불만,0.9588975310325623
ITZY,달라달라(DALLA DALLA),node,UgxSRyNynTYNCFQsCNB4AaABAg,,블랙핑크 느낌이 아닌데 얘네는 더 귀여운 느낌이고 펑키해서 느낌자체가 다른데 비비네마네 못이기네 이러고있노 ㅋㅋㅋㅋㅋㅋㅋ,@장영란-o3h,2019-02-11T15:17:59Z,33,2,즐거움/신남,0.9193059802055359
ITZY,마.피.아. In the morning,node,UgzKPqO58KPukrdrzet4AaABAg,,𝕀𝕋ℤ𝕐있지,@dianareyes2448,2021-08-17T04:15:38Z,3,2,즐거움/신남,0.8786142468452454
ITZY,달라달라(DALLA DALLA),node,Ugxn-htUwPHn4rhBKcF4AaABAg,,블랙핑크랑 너무비슷하다,@haharsr2930,2019-02-10T16:34:59Z,0,2,신기함/관심,0.7760961651802063
ITZY,CAKE,node,Ugx7wJa6AFsdQaAC7r14AaABAg,,멤버들 중에 탑100귀가 없나.....,@dk_kim7980,2023-08-01T12:12:03Z,2,0,안타까움/실망,0.9765580296516418
ITZY,ICY,node,UgwCZ1_vOR5YA33AfWJ4AaABAg,,오늘도 역시 예쁘고 귀엽고 시크한 ITZY 등장!!!,@깜냥이-brz,2019-07-29T02:55:41Z,0,2,흐뭇함(귀여움/예쁨),0.9440564513206482
ITZY,ICY,reply,,UgxOEx2DhErrJhuS4WF4AaABAg,관종 여기등장했네..옛다 관심 ~,@2580sea,2020-07-28T11:22:29Z,0,0,한심함,0.9101371765136719
ITZY,달라달라(DALLA DALLA),reply,,UgxObhXgNQYc0J5eBIJ4AaABAg,놀랄만한,@raof4428,2019-02-11T17:48:28Z,0,1,없음,0.798001229763031
ITZY,Boys Like You,node,UgyQz5r2wIcTL2loc_R4AaABAg,,와… 도입부 완전…,@Milk-855,2022-10-21T06:44:03Z,0,2,감동/감탄,0.9732775092124939
ITZY,LOCO,node,Ugw9qU_9zoexzwOBZwR4AaABAg,,앞에 예지 에이 부분 중독성...,@쪼꼬잼-u7d,2021-10-18T14:05:18Z,2,2,감동/감탄,0.957793116569519
