group,title,link,thumbnail
aespa,Live my Life,https://www.youtube.com/watch?v=YEA1ROHi0Eg,https://i.ytimg.com/vi/YEA1ROHi0Eg/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCvYyvLc9HeuxjcxnWpIW-u3bCl7g
aespa,Armageddon,https://www.youtube.com/watch?v=nFYwcndNuOY,https://i.ytimg.com/vi/nFYwcndNuOY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLB8tIstLf8O4TNwaWWrCM-wc0Fk8g
aespa,Supernova,https://www.youtube.com/watch?v=phuiiNCxRMg,https://i.ytimg.com/vi/phuiiNCxRMg/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCVqJk-7qaGAjFI1C_dPeawzMVJWQ
aespa,Drama,https://www.youtube.com/watch?v=D8VEhcPeSlc,https://i.ytimg.com/vi/D8VEhcPeSlc/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCYOfCvZcLOs_dZfN9MzIv2lN8SxA
aespa,Better Things,https://www.youtube.com/watch?v=gfk3QLU1x0E,https://i.ytimg.com/vi/gfk3QLU1x0E/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAbOoryR-IqYDr-bRfdEwuAMZWO0g
aespa,Spicy,https://www.youtube.com/watch?v=Os_heh8vPfs,https://i.ytimg.com/vi/Os_heh8vPfs/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLA3JSCBeNCisZxDw7Qp2YMWBO10jw
aespa,Welcome To MY World (Feat. nævis),https://www.youtube.com/watch?v=0xdB_vo4r2c,https://i.ytimg.com/vi/0xdB_vo4r2c/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBunWJPjj8rmgfTvQ6qk9qhITaXbQ
aespa,Girls,https://www.youtube.com/watch?v=dYRITmpFbJ4,https://i.ytimg.com/vi/dYRITmpFbJ4/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBOxN6ukbZNOPwUBhRZYgG9r23lng
aespa,Savage,https://www.youtube.com/watch?v=WPdWvnAAurg,https://i.ytimg.com/vi/WPdWvnAAurg/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDQGxlnDkAdMYRm2cdkDmiDbBDpYw
aespa,Next Level,https://www.youtube.com/watch?v=4TWR90KJl84,https://i.ytimg.com/vi/4TWR90KJl84/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBYCGc-AKsDC6UpJgIZw2_VsqjVWA
aespa,Forever,https://www.youtube.com/watch?v=wog1R1d4zls,https://i.ytimg.com/vi/wog1R1d4zls/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCPuqwMDAXMcV3fOVzYezFhXw2oUQ
aespa,Black Mamba,https://www.youtube.com/watch?v=ZeerrnuLi5E,https://i.ytimg.com/vi/ZeerrnuLi5E/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDTL6Fn3_JBYKE-cgUKiroE9O9dlg
NMIXX,별별별 (See that?),https://www.youtube.com/watch?v=_Q8Jskeps9w,https://i.ytimg.com/vi/_Q8Jskeps9w/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAdG9Yw1478vFyMMus_bmPwNrpQmg
NMIXX,蜚蜚 (FEIFEI),https://www.youtube.com/watch?v=zrYC3LEpc6w,https://i.ytimg.com/vi/zrYC3LEpc6w/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBsgCnPCSTE87m1ZEu9vR-x-NAB8Q
